"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 12 06:29:16 UTC 2022","Wed Oct 12 06:29:18 UTC 2022","1494","","Status code","","","","Status code must be 300",""
"passed","Wed Oct 12 06:29:19 UTC 2022","Wed Oct 12 06:29:21 UTC 2022","1389","","Status code","","","","Status code must be 500",""
"passed","Wed Oct 12 06:28:16 UTC 2022","Wed Oct 12 06:28:17 UTC 2022","1363","","Login page","","","","with name",""
"passed","Wed Oct 12 06:25:58 UTC 2022","Wed Oct 12 06:25:58 UTC 2022","239","","Right click","","","","rightclick",""
"passed","Wed Oct 12 06:27:58 UTC 2022","Wed Oct 12 06:28:00 UTC 2022","2332","","Inputs","","","","type into input",""
"passed","Wed Oct 12 06:25:46 UTC 2022","Wed Oct 12 06:25:46 UTC 2022","292","","CheckBox","","","","CheckBox checked",""
"passed","Wed Oct 12 06:28:15 UTC 2022","Wed Oct 12 06:28:16 UTC 2022","1277","","Login page","","","","without data",""
"passed","Wed Oct 12 06:25:19 UTC 2022","Wed Oct 12 06:25:20 UTC 2022","846","","Add/Remove Elements","","","","Add few elements and check it",""
"passed","Wed Oct 12 06:27:17 UTC 2022","Wed Oct 12 06:27:18 UTC 2022","280","","Floating menu","","","","change url",""
"passed","Wed Oct 12 06:26:12 UTC 2022","Wed Oct 12 06:26:13 UTC 2022","691","","Drug And Drop","","","","other way",""
"passed","Wed Oct 12 06:28:17 UTC 2022","Wed Oct 12 06:28:20 UTC 2022","2752","","Login page","","","","with all data",""
"passed","Wed Oct 12 06:26:25 UTC 2022","Wed Oct 12 06:26:28 UTC 2022","3620","","Dynamic Controls","","","","Type text after click",""
"passed","Wed Oct 12 06:26:42 UTC 2022","Wed Oct 12 06:26:42 UTC 2022","253","","Dynamic Loading","","","","wait when text load",""
"passed","Wed Oct 12 06:25:21 UTC 2022","Wed Oct 12 06:25:21 UTC 2022","328","","Add/Remove Elements","","","","Delete all elements and check it",""
"passed","Wed Oct 12 06:25:04 UTC 2022","Wed Oct 12 06:25:07 UTC 2022","2804","","A/B test","","","","Redirect to other page",""
"passed","Wed Oct 12 06:29:13 UTC 2022","Wed Oct 12 06:29:16 UTC 2022","3074","","Status code","","","","Status code must be 200",""
"passed","Wed Oct 12 06:26:10 UTC 2022","Wed Oct 12 06:26:12 UTC 2022","2060","","Drug And Drop","","","","should drop",""
"passed","Wed Oct 12 06:25:34 UTC 2022","Wed Oct 12 06:25:34 UTC 2022","296","","Broken Images","","","","Check images",""
"passed","Wed Oct 12 06:27:29 UTC 2022","Wed Oct 12 06:27:30 UTC 2022","715","","Hovers","","","","check hovers",""
"passed","Wed Oct 12 06:25:20 UTC 2022","Wed Oct 12 06:25:21 UTC 2022","655","","Add/Remove Elements","","","","Delete few elements and check it",""
"passed","Wed Oct 12 06:28:47 UTC 2022","Wed Oct 12 06:28:47 UTC 2022","325","","Select","","","","select first option",""
"passed","Wed Oct 12 06:29:18 UTC 2022","Wed Oct 12 06:29:19 UTC 2022","1394","","Status code","","","","Status code must be 404",""
"passed","Wed Oct 12 06:27:01 UTC 2022","Wed Oct 12 06:27:03 UTC 2022","2183","","Entry Ad","","","","refresh",""
"passed","Wed Oct 12 06:26:59 UTC 2022","Wed Oct 12 06:27:00 UTC 2022","847","","Entry Ad","","","","close modal",""
"passed","Wed Oct 12 06:28:33 UTC 2022","Wed Oct 12 06:28:34 UTC 2022","529","","Scroll","","","","infinite scroll",""
"passed","Wed Oct 12 06:29:00 UTC 2022","Wed Oct 12 06:29:01 UTC 2022","227","","Slider","","","","set value",""
"passed","Wed Oct 12 06:27:44 UTC 2022","Wed Oct 12 06:27:45 UTC 2022","480","","iframe","","","","gets the post",""
